0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:08:26 +0700] "GET /project_fruit/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:08:27 +0700] "GET /project_fruit/home HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:08:30 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:08:35 +0700] "POST /project_fruit/login HTTP/1.1" 500 1676
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:08:44 +0700] "POST /project_fruit/login HTTP/1.1" 500 1676
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:11:54 +0700] "GET /project_fruit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:11:55 +0700] "GET /project_fruit/ HTTP/1.1" 200 188338
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:11:57 +0700] "GET /project_fruit/user/login.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:01 +0700] "POST /project_fruit/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:01 +0700] "GET /project_fruit/home HTTP/1.1" 200 188388
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:08 +0700] "GET /project_fruit/user/user.jsp HTTP/1.1" 200 19317
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:08 +0700] "GET /project_fruit/user/img/logoBank/vnpost.webp HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:08 +0700] "GET /project_fruit/user/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:08 +0700] "GET /project_fruit/user/img/logoBank/grab.jpg HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:08 +0700] "GET /project_fruit/assets/css/user.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:10 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85962
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:10 +0700] "GET /project_fruit/assets/img/hopquatraicay.webp HTTP/1.1" 200 184736
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:10 +0700] "GET /assets/img/logoBank/giaohangtietkiem.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:10 +0700] "GET /assets/img/logoBank/vnpost.webp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:10 +0700] "GET /assets/img/logoBank/grab.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:12 +0700] "GET /project_fruit/add-cart?addToCartPid=69 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2025:00:12:12 +0700] "GET /project_fruit/home?category=hopquanguyencat HTTP/1.1" 200 85962
